geocode,departamento,distrito,pct_bosque_real_2024,mlp_pred_2025,lstm_pred_2025,cnn_pred_2025
010102,Amazonas,Asuncion,0.44039905,0.4380154365521134,0.4371401917022037,0.436552812589867
010104,Amazonas,Cheto,0.5357477,0.5329459747975809,0.5341513664342596,0.5319105828233749
010105,Amazonas,Chiliquin,0.5763412,0.5736219357366771,0.5762101530324857,0.5728225393410857
010109,Amazonas,La Jalca,0.32066834,0.2971583137628823,0.3166956414252705,0.324251664318267
010111,Amazonas,Levanto,0.23357768,0.23059629469094345,0.2391256461392301,0.23778686192516651
010112,Amazonas,Magdalena,0.38422406,0.3564735338873559,0.3852728153051591,0.38148684106443825
010114,Amazonas,Molinopampa,0.5128931,0.5058158105156576,0.508141364443801,0.5190019721778212
010115,Amazonas,Montevideo,0.59547544,0.606847641079809,0.5820106826632078,0.5853457936519721
010117,Amazonas,Quinjalca,0.3426575,0.340769086497583,0.34371800827621457,0.3386540749690575
010119,Amazonas,San Isidro De Maino,0.38737255,0.37362756316674606,0.39520466594061526,0.38525767211487844
010120,Amazonas,Soloco,0.5010763,0.5012356737444861,0.5030586583129428,0.5023303860117854
010202,Amazonas,Aramango,0.7633451,0.7561210272342431,0.7596149145731004,0.7570447870800145
010203,Amazonas,Copallin,0.5169837,0.5228896613347584,0.5163345922774046,0.5136505107000411
010204,Amazonas,El Parco,0.2777125,0.27390097307277084,0.27686777643525884,0.2712141925372229
010206,Amazonas,La Peca,0.32350743,0.32501146127127445,0.32313076537369184,0.3195576034337153
010301,Amazonas,Jumbilla,0.40438226,0.41242123659586455,0.405800608566505,0.40280254713541264
010302,Amazonas,Chisquilla,0.7342543,0.7250927186844263,0.730049804164828,0.7260399252364822
010303,Amazonas,Churuja,0.7752341,0.7657429598612802,0.7699059238240383,0.7674773346827758
010304,Amazonas,Corosha,0.7301616,0.7180748595353542,0.72167010529449,0.7167296394654213
010305,Amazonas,Cuispes,0.67228675,0.6667969759876231,0.6678943398906371,0.6646609532825831
010306,Amazonas,Florida,0.48155686,0.483367101989793,0.47990984539725845,0.4802957506725735
010307,Amazonas,Jazan,0.3614663,0.3717469682237653,0.36377910103243544,0.3702011513599145
010308,Amazonas,Recta,0.3162469,0.31814548832071754,0.3183975341036141,0.31075038706310365
010310,Amazonas,Shipasbamba,0.7229563,0.7211150947513782,0.7197242179627492,0.7181681668261337
010311,Amazonas,Valera,0.37023106,0.37320831132450044,0.36994552168865147,0.36480319713314147
010502,Amazonas,Camporredondo,0.61746275,0.6176068588452375,0.6130458308873014,0.6120143020040326
010503,Amazonas,Cocabamba,0.45194614,0.4419149216233131,0.46298260747614056,0.463667439327596
010507,Amazonas,Longuita,0.30035448,0.3058267554138969,0.3032672029153571,0.30260784317188627
010508,Amazonas,Lonya Chico,0.30748567,0.3064080267728204,0.3056022323793355,0.30219637745330996
010510,Amazonas,Luya Viejo,0.6565175,0.6483082259168946,0.6521494349441643,0.6507098727987828
010511,Amazonas,Maria,0.48333552,0.4849648536866439,0.48460510511770744,0.47965142054545623
010512,Amazonas,Ocalli,0.75780535,0.7492338285786428,0.7503889763719029,0.7484016093181182
010513,Amazonas,Ocumal,0.5722247,0.5766303197758108,0.5736452751786972,0.5698546254779772
010514,Amazonas,Pisuquia,0.49601156,0.48530259730720376,0.5046943689400973,0.5105616137884995
010515,Amazonas,Providencia,0.70317215,0.7154253186285715,0.7016692571969358,0.7047685129970788
010516,Amazonas,San Cristobal,0.12525646,0.12899406904880445,0.12893084622938267,0.1254017257344724
010517,Amazonas,San Francisco Del Yeso,0.3292229,0.3325000843481968,0.3312630876114698,0.334647666355151
010518,Amazonas,San Jeronimo,0.41844672,0.42462571413201755,0.4178225223244993,0.41823723120966066
010519,Amazonas,San Juan De Lopecancha,0.16343026,0.16474471839102223,0.16778703579570986,0.16512276813637916
010520,Amazonas,Santa Catalina,0.6790474,0.6742594013453598,0.6754778350546679,0.6727609069511361
010521,Amazonas,Santo Tomas,0.31714132,0.32030818827930196,0.31685588161709044,0.3171125839309983
010522,Amazonas,Tingo,0.22122473,0.2262468171012284,0.2276776971508489,0.2254957401019576
010523,Amazonas,Trita,0.17880543,0.17981194033378456,0.18712859986574465,0.17943055908656586
010601,Amazonas,San Nicolas,0.645784,0.6452572516550966,0.6419867389922045,0.6439097979645974
010602,Amazonas,Chirimoto,0.68007785,0.6707139262049465,0.6722692454206984,0.6692067749536124
010603,Amazonas,Cochamal,0.79426485,0.7764476810706861,0.7801313125837601,0.7799412907843881
010604,Amazonas,Huambo,0.20973042,0.2103388957113842,0.21271082408234654,0.20531239132287082
010605,Amazonas,Limabamba,0.7546323,0.7437175934164526,0.7348842802812572,0.7381515750162146
010606,Amazonas,Longar,0.66545933,0.657285323643805,0.6589973622596367,0.6555423424424999
010608,Amazonas,Milpuc,0.39327306,0.3951960469414805,0.38926524170670646,0.38700740465518374
010609,Amazonas,Omia,0.68968457,0.6903035988284049,0.6818337979758969,0.6799158624495492
010610,Amazonas,Santa Rosa,0.26092115,0.26513988033588903,0.25987201873295224,0.2555507831931106
010611,Amazonas,Totora,0.18583706,0.19048677898103655,0.18228285469188155,0.18552523887882727
010701,Amazonas,Bagua Grande,0.41003567,0.4098733443538408,0.3994371371467617,0.39631877568821466
010703,Amazonas,Cumba,0.3392431,0.3354535995612135,0.33710096413522145,0.3336751580560011
010705,Amazonas,Jamalca,0.47556707,0.47695196074287954,0.4685424360973513,0.46844422619871856
010706,Amazonas,Lonya Grande,0.52528554,0.5285864269863292,0.5229361741958011,0.5239372072965804
010707,Amazonas,Yamon,0.48043957,0.48098589841478373,0.4773662563451395,0.4814784117496747
050408,Ayacucho,Llochegua,0.58562523,0.5909110801313465,0.5846844211261264,0.5782953072375079
050409,Ayacucho,Canayre,0.6771802,0.6708584174788745,0.6718857062688648,0.6680924128195083
050502,Ayacucho,Anco,0.49619424,0.5028747348024901,0.4965829963596233,0.49253492819828837
050507,Ayacucho,Santa Rosa,0.43714947,0.4440946702902885,0.4359748790424678,0.4342900729304909
050512,Ayacucho,Union Progreso,0.111609034,0.11121323788504694,0.11538193102146127,0.10769166374662659
060801,Cajamarca,Jaen,0.31453162,0.3177232961756925,0.312511994388454,0.3110266998084249
060803,Cajamarca,Chontali,0.53261256,0.5475781455029047,0.5258116073339331,0.5442165228892396
060804,Cajamarca,Colasay,0.29882133,0.3053513349550353,0.3006840775172803,0.2976155371547567
060807,Cajamarca,Pomahuaca,0.4155078,0.4182631008263902,0.41299439372866265,0.4106553513192599
060809,Cajamarca,Sallique,0.29897907,0.3033255041979377,0.30783337955798856,0.2999916046643958
060810,Cajamarca,San Felipe,0.3593838,0.36181754049875403,0.3598926138662266,0.35419727262099177
060811,Cajamarca,San Jose Del Alto,0.46596694,0.4959740098076548,0.4626193160316447,0.4759756918848099
060812,Cajamarca,Santa Rosa,0.33246604,0.33359787730826873,0.32985936434975255,0.32974679996866624
060901,Cajamarca,San Ignacio,0.3073136,0.31024952604457046,0.2989822100775872,0.30470724459509746
060902,Cajamarca,Chirinos,0.40758803,0.41071401856227224,0.4003766963877259,0.4037089049316865
060903,Cajamarca,Huarango,0.6348833,0.6331926467198361,0.6298799981299881,0.6294552947392414
060904,Cajamarca,La Coipa,0.38975024,0.3974021699981948,0.3791756368865014,0.3849887542941442
060907,Cajamarca,Tabaconas,0.6547734,0.6489300810257704,0.6434993670306902,0.6451417469712308
080408,Cusco,Yanatile,0.48107463,0.4895770530084034,0.4828717019842548,0.48010606328532024
080901,Cusco,Santa Ana,0.57289124,0.5713440781256708,0.571648484643794,0.5728385974324459
080903,Cusco,Huayopata,0.536698,0.5416999596995247,0.5381321215373812,0.5346849761791904
080904,Cusco,Maranura,0.5441886,0.5478495477532944,0.5459774771645092,0.5383094514503992
080905,Cusco,Ocobamba,0.44718328,0.4528720987436856,0.44900363828357337,0.44714944296898196
080906,Cusco,Quellouno,0.7143641,0.7084098319126435,0.7116123768898258,0.7031587918702435
080918,Cusco,Union Ashaninka,0.730696,0.7283520884831368,0.7250819670193269,0.7239570803679778
081304,Cusco,Machupicchu,0.3669124,0.37357075096454306,0.37091972097738274,0.358674306350171
100103,Huanuco,Chinchao,0.6457123,0.6343182274340731,0.6335201308289808,0.6324858887907867
100113,Huanuco,San Pablo De Pillao,0.6585656,0.6584510338122858,0.6558505820806629,0.6569093434677864
100505,Huanuco,Jircan,0.72199214,0.7212178160587821,0.7247768191158462,0.7223827438290984
100507,Huanuco,Monzon,0.69520813,0.6939700680591607,0.6931779908722051,0.6915900128427478
100601,Huanuco,Rupa-Rupa,0.59993833,0.5917028986221349,0.5925537376970422,0.5905237425626174
100605,Huanuco,Luyando,0.35349512,0.3501011406046723,0.34475897641475833,0.3457677905126061
100606,Huanuco,Mariano Damaso Beraun,0.8277177,0.8166829862145244,0.8158632853246317,0.8158662887240373
100608,Huanuco,Castillo Grande,0.5058251,0.5017274267650317,0.49523526504396886,0.49453874454251545
100609,Huanuco,Pueblo Nuevo,0.6780786,0.667739109570935,0.66615718881759,0.6652773947009335
100804,Huanuco,Umari,0.21326664,0.21189258703418096,0.211093859462827,0.21673959414056748
100901,Huanuco,Puerto Inca,0.6006511,0.5847100762143269,0.5878771798165898,0.5819649565382227
100902,Huanuco,Codo Del Pozuzo,0.6740933,0.6583769205151871,0.6611083482234126,0.6546362370327308
100903,Huanuco,Honoria,0.35079423,0.34434212224430716,0.34354069413735316,0.3469760278071251
100904,Huanuco,Tournavista,0.48491922,0.47104339075916757,0.4722225278896972,0.46537599500966315
100905,Huanuco,Yuyapichis,0.5434481,0.529167911296366,0.5318661261236376,0.522522845943691
120209,Junin,Mariscal Castilla,0.34947994,0.3633790810418463,0.3560475559447607,0.35315317488979
120302,Junin,Perene,0.544064,0.5408322627835206,0.5373744320116879,0.535953070088125
120303,Junin,Pichanaqui,0.5880489,0.5834206840392288,0.5818414385828333,0.5826273196810993
120304,Junin,San Luis De Shuaro,0.597375,0.5967213771197996,0.5854630524220454,0.5820503325830926
120601,Junin,Satipo,0.6126474,0.6010927681677832,0.6001817664598234,0.5977674371560752
120602,Junin,Coviriali,0.5460517,0.5446481763733588,0.5358975892247342,0.5439256853005742
